iter	RMSE
163	4.941007966
164	4.936378826
165	4.932158835
166	4.92990716
167	4.929277739
168	4.925556143
169	4.922629797
170	4.918379257
171	4.91351799
172	4.908722526
173	4.902519148
174	4.899112454
175	4.895814141
176	4.889771674
177	4.887147662
178	4.881385127
179	4.876378169
180	4.87271711
181	4.86925264
182	4.866108612
183	4.862087991
184	4.858844101
185	4.856146904
186	4.853703934
187	4.849438069
188	4.84729187
189	4.842756167
190	4.836842837
191	4.834006859
192	4.830860107
193	4.828678805
194	4.826530539
195	4.824802515
196	4.821553331
197	4.819816584
198	4.81688446
199	4.813848218
200	4.810006161
201	4.805559592
202	4.802506442
203	4.797892186
204	4.793347995
205	4.787805359
206	4.784985136
207	4.781627828
208	4.779647691
209	4.77801683
210	4.774320551
211	4.770022679
212	4.767800367
213	4.76251358
214	4.759939303
215	4.755263949
216	4.753305796
217	4.748349763
218	4.746971894
219	4.743035018
220	4.741035788
221	4.738548183
222	4.735185176
223	4.732875791
224	4.729817282
225	4.72437331
226	4.722253332
227	4.720297413
228	4.715958981
229	4.712405794
230	4.71076205
231	4.705892246
232	4.704219812
233	4.701780615
234	4.69855483
235	4.694004564
236	4.690929095
237	4.688941126
238	4.686464188
239	4.684242807
240	4.68193744
241	4.678991506
242	4.675563038
243	4.669965825
244	4.66564654
245	4.663509348
246	4.661247953
247	4.657118686
248	4.655842983
249	4.65222607
250	4.651157253
251	4.647659655
252	4.645312325
253	4.644994648
254	4.642908866
255	4.641543743
256	4.639394956
257	4.634721211
258	4.632554786
259	4.631264022
260	4.629239554
261	4.626179768
262	4.617912472
263	4.616115938
264	4.613956845
265	4.61011909
266	4.606094727
267	4.604223841
268	4.600828534
269	4.597364193
270	4.593649744
271	4.588029321
272	4.58556893
273	4.583261225
274	4.578158628
275	4.573338432
276	4.566872836
277	4.563351023
278	4.557414166
279	4.555228369
280	4.550057286
281	4.547894945
282	4.540236025
283	4.536008956
284	4.530807601
285	4.526448118
286	4.523469416
287	4.520897614
288	4.516054787
289	4.512514254
290	4.506516517
291	4.504119405
292	4.498939912
293	4.493636525
294	4.491042136
295	4.486512928
296	4.485416522
297	4.480614096
298	4.478652367
299	4.473879954
300	4.468975722
301	4.465287479
302	4.457619053
303	4.455640701
304	4.450509867
305	4.448973986
306	4.443707619
307	4.438198327
308	4.434733052
309	4.43051256
310	4.429064434
311	4.423966496
312	4.423344505
313	4.416195237
314	4.408374013
315	4.403636914
316	4.398475605
317	4.39323912
318	4.389184219
319	4.384997038
320	4.380579421
321	4.377902285
322	4.376045373
323	4.375358429
324	4.37124832
325	4.370409548
326	4.366571252
327	4.364812224
328	4.364301192
329	4.360187111
330	4.357746347
331	4.353894231
332	4.349994831
333	4.346860703
334	4.34333304
335	4.339282404
336	4.338296289
337	4.336740164
338	4.333543979
339	4.328781065
340	4.325732534
341	4.324437945
342	4.322813289
343	4.31875056
344	4.317656719
345	4.312930112
346	4.30846482
347	4.30479707
348	4.301073656
349	4.297766059
350	4.293335229
351	4.289873158
352	4.28660093
353	4.283111199
354	4.278814558
355	4.275269236
356	4.272772344
357	4.26985559
358	4.264160189
359	4.261402594
360	4.256141476
361	4.253946602
362	4.248756369
363	4.244050951
364	4.239788234
365	4.235155302
366	4.228840796
367	4.226542371
368	4.225608561
369	4.222496277
370	4.220197087
371	4.219288916
372	4.218100315
373	4.214754138
374	4.212275752
375	4.211517093
376	4.209015938
377	4.205067162
378	4.202796277
379	4.198083496
380	4.194243663
381	4.192692763
382	4.189488917
383	4.186791117
384	4.18190118
385	4.177585633
386	4.174152811
387	4.168108876
388	4.164929402
389	4.161047196
390	4.159165651
391	4.153882299
392	4.153215545
393	4.149519448
394	4.144762133
395	4.141596818
396	4.138991592
397	4.138730315
398	4.136623461
399	4.132898506
400	4.132334523
401	4.127705917
402	4.12480131
403	4.121170651
404	4.119407059
405	4.117360351
406	4.114770247
407	4.113856248
408	4.109477302
409	4.105658683
410	4.104884478
411	4.099292681
412	4.098176116
413	4.093939029
414	4.093601091
415	4.091429142
416	4.091055731
417	4.087439537
418	4.081884541
419	4.081421652
420	4.078220955
421	4.074758657
422	4.07277594
423	4.072551284
424	4.071943133
425	4.068520465
426	4.064751921
427	4.059365195
428	4.055913491
429	4.051902815
430	4.048801808
431	4.044692792
432	4.043839458
433	4.042705605
434	4.039273327
435	4.035512024
436	4.034701087
437	4.032000428
438	4.029881072
439	4.029136793
440	4.028928742
441	4.028630179
442	4.024150689
443	4.019415759
444	4.018788963
445	4.01799828
446	4.015540482
447	4.013455548
448	4.010234723
449	4.008719653
450	4.008111539
451	4.005077275
452	4.003532712
453	4.000075539
454	3.997326575
455	3.993549901
456	3.988411821
457	3.985318071
458	3.982877941
459	3.978642815
460	3.973360235
461	3.969866768
462	3.967101801
463	3.963946414
464	3.961610362
465	3.959897668
466	3.959259169
467	3.956634376
468	3.952081998
469	3.951434882
470	3.949861463
471	3.948625103
472	3.947387486
473	3.94153363
474	3.940894241
475	3.93914657
476	3.934024326
477	3.932082492
478	3.928387412
479	3.925915863
480	3.923238771
481	3.921152752
482	3.917876474
483	3.915256099
484	3.914334808
485	3.911984521
486	3.911177238
487	3.907248225
488	3.905275216
489	3.902805169
490	3.900601743
491	3.8989093
492	3.894773999
493	3.891017054
494	3.887714297
495	3.881945653
496	3.879100021
497	3.876608291
498	3.874236874
499	3.87391813
500	3.871980623
501	3.867079979
502	3.863487539
503	3.862457121
504	3.858979923
505	3.856343338
506	3.853569169
507	3.853221583
508	3.849681783
509	3.84606927
510	3.843461625
511	3.84133826
512	3.836854698
513	3.835596214
514	3.834588231
515	3.832709914
516	3.83224657
517	3.829251455
518	3.825044306
519	3.8199986
520	3.8177641
521	3.815504965
522	3.812536915
523	3.810687108
524	3.808778231
525	3.806819091
526	3.804686115
527	3.803644019
528	3.800964434
529	3.799151542
530	3.796362209
531	3.795253006
532	3.793618727
533	3.793434264
534	3.792163523
535	3.791977399
536	3.788681939
537	3.785283285
538	3.783911032
539	3.780326022
540	3.777806732
541	3.776876226
542	3.772206827
543	3.768820504
544	3.766913043
545	3.765576749
546	3.763928388
547	3.760475778
548	3.758807191
549	3.755419431
550	3.755153747
551	3.753222829
552	3.751978218
553	3.750086596
554	3.746287197
555	3.743744331
556	3.740980135
557	3.73684621
558	3.735850009
559	3.734253732
560	3.733984129
561	3.731867289
562	3.726743612
563	3.723908329
564	3.723705388
565	3.721098243
566	3.719610581
567	3.715663796
568	3.712633679
569	3.711731219
570	3.708475681
571	3.707985364
572	3.705134561
573	3.703509064
574	3.699070644
575	3.696976795
576	3.694261551
577	3.693349299
578	3.691017284
579	3.689895992
580	3.687882716
581	3.686557981
582	3.683362822
583	3.68199861
584	3.681486367
585	3.6788087
586	3.678625667
587	3.677367682
588	3.675536829
589	3.673393547
590	3.672099744
591	3.669898628
592	3.666623722
593	3.666482332
594	3.662201944
595	3.658276033
596	3.65631272
597	3.654802065
598	3.654265144
599	3.652442886
600	3.648429891
601	3.646911886
602	3.645507377
603	3.643494608
604	3.641985228
605	3.64053399
606	3.636715905
607	3.635957245
608	3.634170476
609	3.63159018
610	3.629252622
611	3.627069377
612	3.624788821
613	3.62312048
614	3.621692844
615	3.618124235
616	3.616718152
617	3.614137254
618	3.612244016
619	3.611173569
620	3.607512991
621	3.605314785
622	3.603359051
623	3.600556234
624	3.598359307
625	3.597019991
626	3.593697937
627	3.592478239
628	3.591927416
629	3.586799147
630	3.586421984
631	3.586263321
632	3.583350914
633	3.579048187
634	3.576761297
635	3.573786136
636	3.573148707
637	3.570612433
638	3.568180686
639	3.56781226
640	3.565897103
641	3.562303834
642	3.560707371
643	3.557764416
644	3.55671183
645	3.556218416
646	3.552240561
647	3.551552817
648	3.54824755
649	3.546228049
650	3.545818341
651	3.544012207
652	3.541954921
653	3.540527585
654	3.537693948
655	3.536425814
656	3.534450051
657	3.533588325
658	3.532343013
659	3.530261333
660	3.526464618
661	3.525589233
662	3.522774912
663	3.519289606
664	3.518529085
665	3.516094087
666	3.514627065
667	3.513543173
668	3.511374621
669	3.511149314
670	3.510173352
671	3.507852257
672	3.505950733
673	3.501933208
674	3.498898474
675	3.497476568
676	3.496151405
677	3.495726787
678	3.494032072
679	3.490758369
680	3.487905891
681	3.484974886
682	3.483585902
683	3.480359166
684	3.477203515
685	3.475887256
686	3.475674655
687	3.472646113
688	3.467488119
689	3.4642353
690	3.461445229
691	3.461232432
692	3.46093574
693	3.460004441
694	3.457972032
695	3.456590857
696	3.456418395
697	3.45473614
698	3.452437454
699	3.449921645
700	3.448457055
701	3.446793321
702	3.445841147
703	3.443547651
704	3.442294019
705	3.439179317
706	3.438984523
707	3.437475308
708	3.434877074
709	3.432578598
710	3.432176973
711	3.431511317
712	3.430192504
713	3.427514523
714	3.424797069
715	3.423052681
716	3.42193426
717	3.420805232
718	3.417339743
719	3.416162056
720	3.413953322
721	3.413629584
722	3.411603238
723	3.409318534
724	3.405641817
725	3.405094314
726	3.404563997
727	3.4019162
728	3.401307733
729	3.398501756
730	3.397572376
731	3.394774578
732	3.390794784
733	3.387900384
734	3.387352142
735	3.384202526
736	3.383184922
737	3.381013917
738	3.378755901
739	3.375390532
740	3.375208778
741	3.373562953
742	3.370794216
743	3.367954742
744	3.367623734
745	3.364476756
746	3.361433046
747	3.359175437
748	3.357475045
749	3.355395452
750	3.353278344
751	3.353109374
752	3.351707042
753	3.350270271
754	3.349799526
755	3.347239419
756	3.345845465
757	3.344787519
758	3.342297245
759	3.341975131
760	3.339124298
761	3.338908053
762	3.33729174
763	3.334627792
764	3.331571992
765	3.32968905
766	3.327600985
767	3.326274809
768	3.326180472
769	3.322572868
770	3.320792144
771	3.319048303
772	3.316727786
773	3.314510969
774	3.311499521
775	3.30966478
776	3.307735162
777	3.306213025
778	3.303325458
779	3.302523492
780	3.300714856
781	3.298960434
782	3.297430478
783	3.296310043
784	3.294652527
785	3.293081686
786	3.292074899
787	3.290117848
788	3.28994569
789	3.287682298
790	3.285435393
791	3.284695325
792	3.283269413
793	3.282072432
794	3.281110702
795	3.280767022
796	3.278986948
797	3.277448287
798	3.27562372
799	3.27449006
800	3.272149311
801	3.269572595
802	3.268072374
803	3.264636682
804	3.262680371
805	3.261347727
806	3.258875705
807	3.256530567
808	3.254544575
809	3.25444741
810	3.253749441
811	3.251092637
812	3.250544552
813	3.249018155
814	3.248671245
815	3.247899951
816	3.245182087
817	3.243874059
818	3.240271144
819	3.238803488
820	3.236737582
821	3.236612635
822	3.235995145
823	3.23591238
824	3.232151854
825	3.228420981
826	3.226864915
827	3.226350891
828	3.224000169
829	3.223559343
830	3.223472045
831	3.221539124
832	3.220198949
833	3.218090929
834	3.216707723
835	3.216359816
836	3.215034495
837	3.21431621
838	3.21355388
839	3.211689264
840	3.211616065
841	3.208568464
842	3.207963005
843	3.206667528
844	3.206516714
845	3.202750324
846	3.20265018
847	3.202559063
848	3.19964563
849	3.197315389
850	3.194748598
851	3.194674889
852	3.191797173
853	3.189835943
854	3.186400584
855	3.18420526
856	3.182778061
857	3.180353729
858	3.175999783
859	3.174441423
860	3.172536559
861	3.17075245
862	3.169756667
863	3.166752746
864	3.165100055
865	3.164965324
866	3.163265293
867	3.162356424
868	3.162198852
869	3.162124158
870	3.16062536
871	3.157958186
872	3.156293236
873	3.15369826
874	3.151738136
875	3.149143575
876	3.14853823
877	3.146066414
878	3.14359318
879	3.142295521
880	3.138720449
881	3.137811926
882	3.134669975
883	3.134380189
884	3.132972196
885	3.129885903
886	3.128549057
887	3.127843245
888	3.12465034
889	3.122290946
890	3.121554033
891	3.119500893
892	3.118745194
893	3.118459931
894	3.116267047
895	3.115184347
896	3.113482931
897	3.112570214
898	3.111917425
899	3.109744084
900	3.108518985
901	3.107060209
902	3.10535444
903	3.103980262
904	3.100984761
905	3.09930519
906	3.098008211
907	3.096579399
908	3.09487955
909	3.093882565
910	3.092496512
911	3.091175642
912	3.088159821
913	3.085139982
914	3.083422746
915	3.081752299
916	3.08057662
917	3.079371069
918	3.078658744
919	3.077206418
920	3.076528475
921	3.07461814
922	3.073815771
923	3.071955811
924	3.069667267
925	3.069374583
926	3.069085277
927	3.066430992
928	3.065716755
929	3.063695656
930	3.061763853
931	3.059721236
932	3.058039568
933	3.055445373
934	3.055191977
935	3.052927103
936	3.051512167
937	3.051468506
938	3.048715663
939	3.048587736
940	3.046675631
941	3.046021395
942	3.043046219
943	3.04042614
944	3.039204763
945	3.038331453
946	3.03725926
947	3.035143259
948	3.033118641
949	3.031624378
950	3.031579019
951	3.031465808
952	3.029332943
953	3.027394367
954	3.026284336
955	3.024658341
956	3.021521315
957	3.021139308
958	3.021095467
959	3.019985581
960	3.019941317
961	3.018336886
962	3.016620741
963	3.01572343
964	3.015348922
965	3.014777596
966	3.0119558
967	3.009558784
968	3.009020986
969	3.008174594
970	3.005067751
971	3.002971349
972	3.001871283
973	3.000190086
974	2.999028654
975	2.996566113
976	2.993990125
977	2.991868367
978	2.9897001
979	2.986960259
980	2.985841682
981	2.98438727
982	2.984116804
983	2.982905431
984	2.982384945
985	2.981527059
986	2.979135847
987	2.979061331
988	2.976716671
989	2.975425388
990	2.975364198
991	2.97474337
992	2.972981045
993	2.970175177
994	2.968510377
995	2.967237645
996	2.966767948
997	2.965074901
998	2.962386252
999	2.960295879
